grid_id	Species	Abundance.trend	summer_host	hetero_mono	pest	primary_host	holocyclic	host_breadth	host_breadth2	native	origin	body_length	tmp.modern	tmp.trend	pre.modern	pre.trend	Cropland	Cropland.trend	PLAND	Longitude	Latitude	Dataset
1356	Hysteroneura setariae	-16.7669293374303	grass	H	Y	Prunus	Y	P	OP	Y	Nearctic	1.7	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Lipaphis pseudobrassicae	-10.5014378562965	forb	M	Y	None	Y	O	OP	N	Palearctic	1.9	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Aphis coreopsidis	-10.7533318283377	forb	H	N	Nyssa	Y	P	OP	Y	Nearctic	1.65	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Sitobion avenae	7.28289757398408	grass	M	Y	None	Y	O	OP	N	Palearctic	2.3	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Myzus persicae	-8.16033705965325	forb	H	Y	Prunus	Y	P	OP	N	Palearctic	1.75	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Aphis nerii	1.6221334099531	forb	M	N	None	N	M	M	N	Palearctic	2.05	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Aphis illinoisensis	-5.06224591494533	forb	H	Y	Viburnum	Y	O	OP	Y	Nearctic	1.85	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Rhopalosiphum maidis	-18.2836732269362	grass	M	Y	None	N	O	OP	N	Palearctic	1.65	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Rhopalosiphum padi	-7.34383528836835	grass	M	Y	Prunus	N	O	OP	Y	Nearctic	2.45	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Schizaphis graminum	-5.07739619473855	grass	M	Y	None	Y	O	OP	N	Palearctic	1.7	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Aphis gossypii	-10.8712802791043	forb	H	Y	Rhamnus	Y	P	OP	N	Palearctic	1.35	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Rhopalosiphum rufiabdominale	-12.6414619745608	forb_grass	H	Y	Prunus	Y	P	OP	N	Palearctic	2.3	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Aphis craccivora	-7.93110422801797	forb	M	Y	None	N	P	OP	N	Palearctic	1.8	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Forda marginata	-15.2944971510879	grass	M	Y	None	N	O	OP	N	Palearctic	2.35	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1356	Acyrthosiphon pisum	-10.7367719669209	forb	M	Y	None	Y	O	OP	N	Palearctic	3.45	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696	0.71589336579627	0.0206148751811013	0.881549877946214	-89.8878233	36.30882094	Midwest
1604	Lipaphis pseudobrassicae	-9.06931726692858	forb	M	Y	None	Y	O	OP	N	Palearctic	1.9	14.943601438942	0.00372713746477345	107.228424381642	0.0088660073490599	0.277060452155152	-0.016399935614628	0.208461208257677	-88.57625097	37.52218797	Midwest
1604	Calaphis betulella	3.37517438467034	tree	M	N	None	Y	M	M	Y	Nearctic	2.25	14.943601438942	0.00372713746477345	107.228424381642	0.0088660073490599	0.277060452155152	-0.016399935614628	0.208461208257677	-88.57625097	37.52218797	Midwest
1604	Monellia caryella	-6.6015022169105	tree	M	Y	None	Y	M	M	Y	Nearctic	1.55	14.943601438942	0.00372713746477345	107.228424381642	0.0088660073490599	0.277060452155152	-0.016399935614628	0.208461208257677	-88.57625097	37.52218797	Midwest
1604	Sitobion avenae	8.48092430893492	grass	M	Y	None	Y	O	OP	N	Palearctic	2.3	14.943601438942	0.00372713746477345	107.228424381642	0.0088660073490599	0.277060452155152	-0.016399935614628	0.208461208257677	-88.57625097	37.52218797	Midwest
1604	Myzus persicae	-9.78942381957415	forb	H	Y	Prunus	Y	P	OP	N	Palearctic	1.75	14.943601438942	0.00372713746477345	107.228424381642	0.0088660073490599	0.277060452155152	-0.016399935614628	0.208461208257677	-88.57625097	37.52218797	Midwest
1604	Rhopalosiphum nymphaeae	-6.0716454488237	forb_grass	H	N	Prunus	Y	P	OP	N	Palearctic	2.25	14.943601438942	0.00372713746477345	107.228424381642	0.0088660073490599	0.277060452155152	-0.016399935614628	0.208461208257677	-88.57625097	37.52218797	Midwest
1604	Schizaphis graminum	-6.375768551066	grass	M	Y	None	Y	O	OP	N	Palearctic	1.7	14.943601438942	0.00372713746477345	107.228424381642	0.0088660073490599	0.277060452155152	-0.016399935614628	0.208461208257677	-88.57625097	37.52218797	Midwest
