Species	summer_host	hetero_mono	pest	primary_host	holocyclic	host_breadth	native	origin	Minimum_length	Maximum_length
Acyrthosiphon kondoi	forb	M	Y	None	Y	O	no	Palearctic	2.1	2.9
Acyrthosiphon lactucae	forb	M	Y	None	Y	M	no	Palearctic	1.7	2.9
Acyrthosiphon macrosiphum	shrub	M	N	None	Y	M	yes	Nearctic	1.5	1.9
Acyrthosiphon malvae	forb	M	N	None	Y	P	no	Palearctic	1.5	3.2
Acyrthosiphon pisum	forb	M	Y	None	Y	O	no	Palearctic	2.5	4.4
Amphorophora crataegi	tree	H	N	Crataegus	Y	M	yes	Nearctic	1.7	2.3
Anoecia corni	grass	H	Y	Cornus	Y	O	no	Palearctic	1.9	2.8
Aphis armoraciae	forb	M	N	Populus?	Y	P	yes	Nearctic	1.5	2.5
Aphis avicularis	forb	M	N	None	Y	M	Yes	Nearctic	1.6	2.2
Aphis craccivora	forb	M	Y	None	N	P	no	Palearctic	1.4	2.2
Aphis fabae	forb	H	Y	Viburnum_Euonymus	Y	P	no	Palearctic	1.5	3.1
Aphis gossypii	forb	V	Y	None	N	P	no	Palearctic	0.9	1.8
Aphis gregalis	shrub	M	N	None	Y	P	yes	Nearctic	1.2	1.9
Aphis helianthi	forb	H	N	Cornus	Y	P	yes	Nearctic	1.4	2.5
Aphis lugentis	forb	M	N	None	Y	O	yes	Nearctic	1.9	2.8
Aphis nerii	forb	M	N	None	N	M	no	Palearctic	1.5	2.6
Aphis oenotherae	forb	H	N	Ribes	Y	O	no	Palearctic	1.5	2
Aphis polygonata	forb	M	N	None	Y	M	no	Palearctic	1.6	2.2
Aphis pomi	shrub	M	N	None	Y	O	no	Palearctic	1.3	2.2
Aphis salicariae	forb	H	N	Cornus	Y	O	yes	Nearctic	1.6	2.4
Appendiseta robiniae	tree	M	N	None	Y	M	yes	Nearctic	1.6	1.9
Brachycaudus cardui	forb	H	Y	Prunus	Y	P	no	Palearctic	1.9	2.3
Brachycaudus helichrysi	forb	H	N	Prunus	Y	P	no	Palearctic	0.9	2
Brachycorynella asparagi	forb	M	Y	None	Y	M	no	Palearctic	1.2	1.8
Brevicoryne brassicae	forb	M	Y	None	Y	O	no	Palearctic	1.6	2.6
Capitophorus elaeagni	forb	H	N	Elaeagnus	Y	O	no	Palearctic	1.9	2.5
Capitophorus hippophaes	forb	H	N	Elaeagnus_Hoppophae	Y	O	no	Palearctic	1.5	2.1
Cavariella aegopodii	forb	H	Y	Salix	Y	O	no	Palearctic	1	2.6
Ceruraphis eriophori	shrub	H	N	Cyperaceae	Y	O	no	Palearctic	2.5	3
Chaitophorus populicola	tree	M	N	None	Y	M	yes	Nearctic	2	2.5
Diuraphis noxia	grass	M	Y	None	Y	O	no	Palearctic	1.4	2.3
Drepanaphis acerifoliae	tree	M	N	None	Y	M	yes	Nearctic	1.9	2.3
Drepanaphis utahensis	tree	M	N	None	Y	M	yes	Nearctic	1.5	2
Drepanosiphum platanoidis	tree	M	N	None	Y	M	no	Palearctic	3.2	4.3
Durocapillata utahensis	forb	M	N	None	Y	M	yes	Nearctic	1.3	1.5
Dysaphis aucupariae	tree	H	N	Sorbus	Y	M	no	Palearctic	2.2	2.5
Dysaphis crataegi	tree	H	N	Crataegus	Y	O	no	Palearctic	1.4	2.5
Dysaphis plantaginea	tree	H	Y	Malus	Y	M	no	Palearctic	2.1	2.6
Eucallipterus tiliae	tree	M	N	None	Y	M	no	Palearctic	1.8	3
Forda marginata	grass	M	Y	None	N	O	no	Palearctic	1.6	3.1
Hayhurstia atriplicis	forb	M	Y	None	Y	O	no	Palearctic	1.5	2.9
Hyadaphis foeniculi	forb	H	N	Symphoricarpos	Y	O	no	Palearctic	1.3	2.6
Hyadaphis tartaricae	shrub	M	N	Lonicera	Y	M	yes	Nearctic	1.1	2.5
Hyalopterus pruni	grass	H	N	Prunus	Y	M	no	Palearctic	1.5	2.6
Hyperomyzus lactucae	forb	H	N	Ribes	Y	O	no	Palearctic	2	3.2
Hyperomyzus nigricornis	forb	H	N	Ribes	Y	O	yes	Nearctic	2.3	3.3
Hyperomyzus pallidus	forb	H	N	Ribes	Y	O	no	Palearctic	2.3	3.5
Lipaphis erysimi	forb	M	Y	None	Y	O	no	Palearctic	1.5	2.3
Macrosiphoniella ludovicianae	shrub	M	N	None	Y	M	yes	Nearctic	2	2.8
Macrosiphum euphorbiae	shrub	M	Y	None	N	P	yes	Nearctic	1.7	3.6
Macrospihum rosae	forb	H	N	Rosa	Y	O	yes	Nearctic	1.7	4.2
Metopolophium dirhodum	shrub_grass	H	Y	Rosa	Y	O	no	Palearctic	1.6	2.9
Metopolophium festucae	grass	H	Y	Rosa	Y	O	no	Palearctic	1.4	2.2
Monellia caryae	tree	M	N	None	Y	M	yes	Nearctic	0.9	2.2
Myzocallis coryli	tree	M	Y	None	Y	M	no	Palearctic	1.3	2.2
Myzus ascalonicus	forb	M	Y	None	Y	P	no	Palearctic	1.1	2.3
Myzus cerasi	forb_shrub	H	N	Prunus	Y	P	no	Palearctic	1.5	2.6
Myzus certus	forb	M	N	None	Y	O	yes	Nearctic	1.2	2
Myzus lythri	forb	H	N	Prunus	Y	M	no	Palearctic	1.8	2
Myzus persicae	forb	H	Y	Prunus	Y	P	no	Palearctic	1.2	2.3
Nearctaphis bakeri	forb	H	N	Pomoideae	Y	O	yes	Nearctic	1.4	2.3
Nearctaphis sensoriata	forb	H	N	Amelanchier	Y	O	yes	Nearctic	2	2.2
Ovatus crataegarius	forb	H	N	Pyrodea spp.	Y	O	no	Palearctic	1.4	2.4
Periphyllus americanus	tree	M	N	Acer	N	M	yes	Nearctic	2	2.5
Phorodon humuli	forb	H	Y	Prunus	Y	M	no	Palearctic	2	2.6
Pleotrichophorus rusticatus	shrub	M	N	None	Y	M	yes	Nearctic	1.7	2
Prociphilus americanus	tree	H	Y	Fraxinus	Y	M	yes	Nearctic	1.4	2.3
Pterocomma smithiae	tree	M	N	None	Y	O	yes	Nearctic	2.3	4
Rhopalomyzus lonicerae	grass	H	N	Lonicera	Y	O	no	Palearctic	2	2.6
Rhopalomyzus poae	grass	H	N	Lonicera	Y	O	yes	Nearctic	1.3	1.8
Rhopalosiphum insertum	grass	H	Y	Pyroideae	Y	O	yes	Nearctic	2.1	2.6
Rhopalosiphum maidis	grass	M	Y	None	N	O	no	Palearctic	0.9	2.4
Rhopalosiphum nigrum	grass	H	N	Crataegus	Y	O	no	Palearctic	1.7	2.2
Rhopalosiphum nymphaeae	forb_grass	H	N	Prunus	Y	P	no	Palearctic	1.6	2.9
Rhopalosiphum padi	grass	M	Y	NA	N	O	yes	Nearctic	2	2.9
