Species	Invasive	Feeding	Plant_family	Primary_host	Summer_host	Host_breadth	Diet.breadth.families	Pest_family	Pest_status	DL_notes	Common_name	First_report	Host_alternating	Parthenogenesis	Minimum_length	Maximum_length
Acyrthosiphon caraganae	Invasive	Specialist	Fabaceae	NA	forb	O	1	Fabaceae	NA		caragana aphid	1940	Monoecious	Holocyclic	2.6	4.3
Acyrthosiphon lactucae	Invasive	Specialist	Asteraceae	NA	forb	M	1	Asteraceae	Vegetable		lettuce aphid	1943	Monoecious	Holocyclic	1.7	2.9
Acyrthosiphon pisum	Invasive	Specialist	Fabaceae	NA	forb	O	1	Fabaceae	Field crop		pea aphid	1877	Monoecious	Holocyclic	2.5	4.4
Anoecia corni	Invasive	Specialist	Poaceae;Cornaceae	Cornus	grass	O	2	Poaceae	Field crop			1897	Heteroecious	Holocyclic	1.9	2.8
Anoecia cornicola	Native	Specialist	Poaceae;Cornaceae	Cornus	grass	O	2	NA	NA		(white-banded dogwood aphid)		Heteroecious	Holocyclic	1.7	1.7
Anoecia oenotherae	Native	Specialist	Onagraceae;Cornaceae	Cornus	grass	M	2	NA	NA				Heteroecious	Holocyclic	1.5	1.5
Anoecia setariae	Native	Specialist	Poaceae	NA	grass	O	1	NA	NA				Monoecious	Holocyclic	1.6	2
Aphis asclepiadis	Native	Generalist	Asteraceae;Apiaceae;Apocynaceae;Cornaceae;Asparagaceae	Cornus	forb	P	5	NA	NA		milkweed aphid		Heteroecious	Holocyclic	1.4	2.5
Aphis cephalanthi	Native	Specialist	Rubiaceae	NA	forb	M	1	NA	NA				Monoecious	Holocyclic	0.9	1.7
Aphis coreopsidis	Native	Generalist	Nyssaceae;Asteraceae;Malvaceae;Lamiaceae	Nyssa	forb	P	4	NA	NA				Heteroecious	Holocyclic	1.5	1.8
Aphis craccivora	Invasive	Generalist	Fabaceae;Asteraceae;Brassicaceae;Caryophyllaceae;Chenopodiaceae;Cucurbitaceae;Malvaceae;Ranunculaceae;Rosaceae;Solanaceae	NA	forb	P	10	Fabaceae	Field crop		cowpea aphid	1890	Monoecious	Anholocyclic	1.4	2.2
Aphis decepta	Native	Specialist	Apiaceae	NA	forb	M	1	NA	NA				Monoecious	Anholocyclic	1.4	2.2
Aphis fabae	Invasive	Generalist	Celastraceae;Asteraceae;Amaranthaceae;Apiaceae;Papavereae;Polygonaceae	Viburnum, Euonymus	forb	P	6	Many crops	Field crop		black bean aphid	1869	Heteroecious	Holocyclic	1.5	3.1
Aphis folsomii	Native	Specialist	Vitaceae	NA	forb	M	1	NA	NA				Monoecious	Anholocyclic	1.6	1.8
Aphis glycines	Invasive	Specialist	Rhamnaceae;Fabaceae	Rhamnus	forb	O	2	Fabaceae	Field crop		soybean aphid	2000	Heteroecious	Holocyclic	1.2	1.7
Aphis gossypii	Invasive	Generalist	Malvaceae;Asparagaceae;Rutaceae;Bignoniaceae;Celastraceae;Lythraceae; Rhamnaceae	Rhamnus	forb	P	7	Many crops	Field crop		cotton aphid; melon aphid	1852	Heteroecious	Holocyclic	0.9	1.8
Aphis illinoisensis	Native	Specialist	Adoxaceae;Vitaceae	Viburnum	forb	O	2	Vitaceae	Fruit		grapevine aphid		Heteroecious	Holocyclic	1.6	2.1
Aphis impatientis	Native	Generalist	Cornaceae;Balsaminaceae;Asteraceae	Cornus	forb	P	3	NA	NA				Heteroecious	Holocyclic	1.1	1.8
Aphis maculatae	Native	Specialist	Salicaceae;Cornaceae	Cornus	tree	M	2	NA	NA		spotted poplar aphid		Heteroecious	Holocyclic	1.7	1.8
Aphis nasturtii	Invasive	Generalist	Solanaceae;Asteraceae;Amaranthaceae;Rhamnaceae;Brassicaceae;Plantaginaceae;Droseraceae	Rhamnus	forb	P	7	Many crops	Vegetable		buckthorn-potato aphid	1894	Heteroecious	Holocyclic	1.3	2
Aphis nerii	Invasive	Specialist	Apocynaceae	NA	forb	M	1	Ornamental flowers	NA		oleander aphid	1879	Monoecious	Anholocyclic	1.5	2.6
Aphis polygonata	Invasive	Specialist	Polygonaceae	NA	forb	M	1	NA	NA		brown knotgrass aphid	1977	Monoecious	Holocyclic	1.6	2.2
Aphis pulchella	Native	Specialist	Euphorbiaceae	NA	forb	M	1	NA	NA				Monoecious	Holocyclic	1.6	1.7
Aphis rubicola	Native	Specialist	Rosaceae	NA	forb	M	1	Rosaceae	Fruit		small raspberry aphid		Monoecious	Holocyclic	0.6	1.2
Aphis rumicis	Invasive	Specialist	Polygonaceae	NA	forb	M	1	NA	NA		dock aphid	Unknown	Monoecious	Holocyclic	1.4	2.8
Aphis sambuci	Invasive	Generalist	Adoxaceae;Caryophyllaceae;Polygonaceae;Brassicaceae;Onagraceae;Saxifragaceae	Sambucus	forb	P	6	NA	NA			1847	Heteroecious	Holocyclic	1.4	3.5
Aphis spiraecola	Invasive	Generalist	Caprifoliaceae;Asteraceae;Rosaceae;Rubiaceae;Rutaceae	Spiraea	shrub	P	5	Rutaceae	Fruit		spirea aphid	1907	Heteroecious	Holocyclic	1.2	2.2
Aspidaphis adjuvans	Invasive	Specialist	Polygonaceae	NA	forb	M	1	NA	NA		wrinkly knotgrass aphid	1907	Monoecious	Holocyclic	1.3	2
Aulacorthum solani	Invasive	Generalist	Solanaceae;Apiaceae;Cucurbitaceae;FabaceaeLiliaceae;Convulvaceae;Plantaginaceae	NA	forb	P	7	Many crops	Vegetable		foxglove aphid	1879	Monoecious	Holocyclic	1.8	3
Brachycaudus cardui	Invasive	Generalist	Asteraceae;Boraginaceae;Rosaceae;Brassicaceae	Prunus	forb	P	4	Rosaceae	Fruit		plum-thistle aphid	1887	Heteroecious	Holocyclic	1.9	2.3
Brachycaudus helichrysi	Invasive	Generalist	Asteraceae;Boraginaceae;Rosaceae;Fabaceae;Polygonaceae;Plantaginaceae;Saxifragaceae	Prunus	forb	P	7	Rosaceae	Fruit		leaf-curling plum aphid	1893	Heteroecious	Holocyclic	0.9	2
Brevicoryne brassicae	Invasive	Specialist	Brassicaceae;Resedaceae	NA	forb	O	2	Brassicaceae	Vegetable		cabbage aphid	1791	Monoecious	Holocyclic	1.6	2.6
Calaphis betulella	Native	Specialist	Betulaceae	NA	tree	M	1	NA	NA				Monoecious	Holocyclic	2	2.5
Capitophorus elaeagni	Invasive	Specialist	Elaeagnaceae;Asteraceae	Elaeagnus	forb	O	2	NA	NA		artichoke aphid	1892	Heteroecious	Holocyclic	1.9	2.5
Capitophorus hippophaes	Invasive	Specialist	Elaeagnaceae;Polygonaceae	Elaeagnus, Hoppophae	forb	O	2	NA	NA		polygonum aphid	1895	Heteroecious	Holocyclic	1.5	2.1
Cavariella aegopodii	Invasive	Specialist	Salicaceae;Apiaceae	Salix	forb	O	2	Apiaceae	Vegetable		carrot-willow aphid	1903	Heteroecious	Holocyclic	1	2.6
Chaitophorus populicola	Native	Specialist	Salicaceae	NA	tree	M	1	Salicaceae	NA		poplar leaf aphid		Monoecious	Holocyclic	2	2.5
Colopha ulmicola	Native	Specialist	Ulmaceae;Poaceae	Ulmus	grass	M	2	NA	NA		elm cockscomb aphid		Heteroecious	Holocyclic	1	1.6
Diuraphis noxia	Invasive	Specialist	Poaceae	NA	grass	O	1	Poaceae	Field crop		Russian wheat aphid	1986	Monoecious	Holocyclic	1.4	2.3
Drepanaphis acerifoliae	Native	Specialist	Sapindaceae	NA	tree	M	1	NA	NA		painted maple aphid		Monoecious	Holocyclic	1.9	2.3
Dysaphis plantaginea	Invasive	Specialist	Rosaceae;Plantaginaceae	Malus	tree	M	2	Malus	Fruit		rosy apple aphid	1890	Heteroecious	Holocyclic	2.1	2.6
Eucallipterus tiliae	Invasive	Specialist	Malvaceae	NA	tree	M	1	Malvaceae	NA		lime aphid; linden aphid	1890	Monoecious	Holocyclic	1.8	3
Eulachnus rileyi	Invasive	Specialist	Pinaceae	NA	tree	M	1	Pinaceae	NA		pine needle aphid	1886	Monoecious	Holocyclic	2.3	3
Forda marginata	Invasive	Specialist	Anacardiaceae;Poaceae	NA	grass	O	2	Poaceae	Field crop		crusty pistachio-grass root aphid	1885	Monoecious	Anholocyclic	1.6	3.1
Geoica utricularia	Invasive	Specialist	Anacardiaceae;Poaceae	NA	grass	O	2	Poaceae	Field crop		short-haired pistachio-grassroot aphid	1887	Monoecious	Anholocyclic	1.6	3
Hamamelistes spinosus	Native	Specialist	Hamamelidaceae;Betulaceae	Hamamelis	tree	M	2	NA	NA		spiny witch hazel gall aphid		Heteroecious	Holocyclic	2	2
Hayhurstia atriplicis	Invasive	Specialist	Amaranthaceae	NA	forb	O	1	Amaranthaceae	Vegetable		Chenopodium aphid	1887	Monoecious	Holocyclic	1.5	2.9
Hyadaphis foeniculi	Invasive	Specialist	Caprifoliaceae;Apiaceae	Symphoricarpos	forb	O	2	Caprifoliaceae	NA		fly honeysuckle aphid	1879	Heteroecious	Holocyclic	1.3	2.6
Hyadaphis tataricae	Invasive	Specialist	Caprifoliaceae	NA	shrub	M	1	Caprifoliaceae	NA		honeysuckle aphid	1979	Monoecious	Holocyclic	1.1	2.5
