Species	summer_host	pest	hetero_mono	primary_host	holocyclic	host_breadth	native	origin	Minimum_length	Maximum_length
Aphis sambuci	shrub	N	V	Sambuccus	V	P	Y		1.4	3.5
Brachycaudus persicae	tree	Y	V	Prunus	V	P	Y		1.5	2.2
Dysaphis pyri	tree	Y	H	Pyrus	Y	O	Y		1	1.4
Pemphigus populi	forb, tree	N	H	Populus	Y	P	Y		1.9	2.6
Utamphorophora humboldti	grass	N	M	Physocarpis	N	O	N		1.9	2.6
Wahlgreniella arbuti	forb, tree	N	M	Rosa	N	P	N		1.4	2.5
Acyrthosiphon primulae	forb	N	M	NA	N	M	Y		2	2.5
Aphis craccivora	forb	Pulses	M	NA	N	P	N		1.4	2.2
Aulacorthum circumflexum	forb	Y	M	NA	N	P	Y		1.2	2.6
Aulacorthum palustre	forb	N	M	NA	N	O	Y		2.4	3.2
Baizongia pistaciae	tree	N	M	NA	N	P	Y		1.6	2.3
Chaetosiphon fragaefolii	forb	Y	M	NA	N	M	NA		0.9	1.8
Cinara laportei	tree	Y	M	NA	N	M	N		1.5	2
Cryptomyzus ballotae	forb	N	M	NA	N	O	Y		1.7	2.1
Decorosiphon corynothrix	moss	N	M	NA	N	O	Y		1.4	1.9
Forda formicaria	grass	N	M	NA	N	M	N		1.9	3.3
Forda marginata	grass	Y	M	NA	N	O	N		1.6	3.1
Geoica setulosa	grass	Y	M	NA	N	O	Y		1.6	2.6
Geoica utricularia	grass	Y	M	NA	N	O	Y		1.6	3
Illinoia goldamaryae	forb	N	M	NA	N	O	N		1.8	2.9
Illinoia lambersi	forb	N	M	NA	N	O	N		2	3.7
Illinoia morrisoni	tree	N	M	NA	N	P	N		1.5	2.3
Jacksonia papillata	grass	N	M	NA	N	P	Y		1.5	1.9
Macrosiphum euphorbiae	shrub	Y	M	NA	N	P	Y		1.7	3.6
Metopolophium fasciatum	grass	N	M	NA	N	O	Y		1.7	3.4
Muscaphis musci	moss	N	M	NA	N	P	Y		0.5	1
Myzus cymbalariae	forb	N	M	NA	N	P	N		1.2	2
Myzus ornatus	forb	N	M	NA	N	P	Y		1	1.7
Ovatomyzus chamaedrys	forb	N	M	NA	N	P	Y		0.8	1.5
Ovatomyzus stachyos	forb	N	M	NA	N	M	Y		1	1.5
Protrama flavescens	forb	N	M	NA	N	O	Y		2.7	3.8
Protrama ranunculi	forb	N	M	NA	N	M	Y		2.8	3.7
Pseudacaudella rubida	moss	N	M	NA	N	O	Y		0.7	1
Rhopalosiphoninus latysiphon	forb	N	M	NA	N	P	Y		1.4	2.5
Rhopalosiphum maidis	grass	Cereals	M	NA	N	O	N		0.9	2.4
Sipha maydis	grass	Cereals	M	NA	N	O	Y		1	2.1
Smynthurodes betae	forb	N	M	NA	N	P	N		1.6	2.7
Subsaltusaphis ornata	grass	N	M	NA	N	M	Y		2.7	2.8
Takecallis arundicolens	grass	N	M	NA	N	O	N		1.8	2.8
Takecallis arundinariae	grass	N	M	NA	N	O	N		1.7	2.4
Toxoptera aurantii	forb	Y	M	NA	N	P	Y		1.1	2
Trama caudata	forb	N	M	NA	N	O	Y		2.5	3.3
Trama rara	forb	N	M	NA	N	M	Y		2.5	3.5
Trama troglodytes	forb	N	M	NA	N	O	Y		2.5	3.9
Tuberolachnus salignus	tree	Willow	M	NA	N	M	Y		5	5.8
Lipamyzodes matthiolae	forb	N	NA	NA	NA	O	Y		1.9	2.5
Myzus hemerocallis	forb	Hemerocallis	NA	NA	NA	P	Y		1.6	2.4
Thripsaphis cyperi	NA	NA	NA	NA	NA	NA	NA		NA	NA
Thripsaphis producta	NA	NA	NA	NA	NA	NA	NA		NA	NA
Thecabius lysimachiae	forb, tree	N	H	Lysmachia	V	P	Y		1.1	1.8
Aploneura lentisci	grass	N	M	NA	V	P	Y		1.1	3
Anoecia corni	shrub	Y	H	Cornus	Y	O	Y		1.9	2.8
Anuraphis farfarae	forb	Y	H	Pyrus	Y	P	Y		2.2	3.1
Anuraphis subterranea	forb	Y	H	Pyrus	Y	P	Y		2	3.5
Aphis fabae	forb	Pulses	H	Viburnum, Euonymus	Y	P	N		1.5	3.1
Aphis nasturtii	forb	Y	H	Rhamnus	Y	P	Y		1.6	2.4
Aphis salicariae	forb	N	H	Cornus	Y	O	Y		1.6	2.4
Brachycaudus cardui	shrub, tree	Y	H	Prunus	Y	P	Y		1.9	2.3
Brachycaudus helichrysi	forb	N	H	Prunus	Y	P	Y		0.9	2
Capitophorus elaeagni	forb	N	H	Elaeagnus	Y	O	N		1.9	2.5
Capitophorus hippophaes	forb	N	H	Elaeagnus, Hoppophae	Y	O	N		1.5	2.1
Capitophorus similis	forb	N	H	Hippophae	Y	P	Y		1.7	2.3
Cavariella aegopodii	forb	Carrot	H	Salix	Y	O	Y		1	2.6
Cavariella archangelicae	tree	N	H	Salix	Y	P	Y		2.1	2.1
Cavariella konoi	tree	N	H	Salix	Y	P	Y		2.3	2.5
Cavariella pastinacae	tree	N	H	Salix	Y	P	Y		1.6	2.2
Cavariella theobaldi	tree	N	H	Salix	Y	P	Y		1.6	2
Ceruraphis eriophori	tree	N	H	Vibernum	Y	O	Y		2.5	3
Cryptomyzus galeopsidis	forb	N	H	Ribes	Y	P	Y		1.3	2.6
Cryptomyzus korschelti	forb	N	H	Ribes	Y	P	Y		1.5	2.5
Cryptomyzus ribis	forb	N	H	Ribes	Y	P	Y		1.2	2.6
Dysaphis plantaginea	tree	Y	H	Malus	Y	M	Y		2.1	2.6
Eriosoma patchiae	forb, tree	N	H	Ulmus	Y	O	Y		2	2.5
Eriosoma ulmi	tree	Y	H	Ulmus	Y	P	Y		0.8	2
Hyadaphis foeniculi	forb	N	H	Symphoricarpos	Y	O	Y		1.3	2.6
Hyalopterus pruni	grass	N	H	Prunus	Y	M	N		1.5	2.6
Hyperomyzus lactucae	forb	N	H	Ribes	Y	O	Y		2	3.2
Hyperomyzus pallidus	forb	N	H	Ribes	Y	O	N		2.3	3.5
Hyperomyzus picridis	forb	N	H	Ribes	Y	P	Y		2.4	3
Hyperomyzus rhinanthi	forb	Y	H	Ribes	Y	P	Y		2.4	3
Kaltenbachiella pallida	forb, tree	N	H	Ulmus	Y	P	Y		1.8	2.1
Longicaudus trirhodus	shrub	N	H	Rosa	Y	P	Y		1.6	2.7
Macrosiphum rosae	forb	N	H	Rosa	Y	O	Y		1.7	4.2
Melanaphis pyraria	grass, tree	N	H	Pyrus	Y	P	Y		1.3	2.1
Metopolophium dirhodum	grass, shrub	Cereals	H	Rosa	Y	O	N		1.6	2.9
Metopolophium festucae	grass	Cereals	H	Rosa	Y	O	N		1.4	2.2
Mimeuria ulmiphila	tree	N	H	Acer	Y	P	Y		3.5	4.5
Muscaphis escherichi	moss	N	H	Sorbus	Y	O	Y		2.7	4.4
Myzus cerasi	forb, shrub	N	H	Prunus	Y	P	N		1.5	2.6
Myzus lythri	forb	N	H	Prunus	Y	M	N		1.8	2
Myzus persicae	forb	Many	H	Prunus	Y	P	N		1.2	2.3
Myzus varians	forb, tree	N	H	Prunus	Y	P	Y		1.7	2.3
Nasonovia ribisnigri	forb	Y	H	Ribes	Y	P	Y		1.3	2.7
Nearctaphis bakeri	forb	N	H	Pomoideae	Y	O	Y		1.4	2.3
Ovatus crataegarius	forb	N	H	Pyroideae	Y	O	Y		1.4	2.4
Ovatus insitus	forb	N	H	Crataegus	Y	P	Y		1.6	2.6
Phorodon humuli	forb	Hop	H	Prunus	Y	M	N		2	2.6
Prociphilus fraxini	tree	N	H	Fraxinus	Y	P	Y		3.3	5.1
Prociphilus pini	tree	N	H	Crataegus	Y	P	Y		1.6	2.3
Rhopalomyzus poae	grass	N	H	Lonicera	Y	O	Y		1.3	1.8
Rhopalomyzus  lonicerae	grass	N	H	Lonicera	Y	O	Y		2	2.6
Rhopalosiphoninus staphyleae	tree	N	H	Staphylea	Y	P	Y		2.3	3
Rhopalosiphum nymphaeae	tree	N	H	Prunus	Y	P	N		1.6	2.9
Rhopalosiphum oxyacanthae	grass, tree	Y	H	Pyroideae	Y	O	N		2.1	2.6
Rhopalosiphum padi	grass	Cereals	H	Prunus	Y	O	N		2	2.9
Rhopalosiphum rufulum	tree	N	H	Crataegus	Y	P	Y		2	2.5
Sitobion fragariae	shrub	N	H	Rubus	Y	O	N		2	3
Tetraneura ulmi	tree	N	H	Ulmus	Y	M	N		1.7	2.8
Thecabius affinis	forb, tree	N	H	Populus	Y	P	Y		2.1	2.9
Wahlgreniella nervata	shrub	N	H	Rosa	Y	O	N		1.4	2.5
Acyrthosiphon malvae	forb	N	M	NA	Y	P	Y		1.5	3.2
Acyrthosiphon pisum	forb	Pulses	M	NA	Y	O	N		2.5	4.4
Acyrthosiphon loti	forb	N	M	NA	Y	O	Y		1.7	2.9
Amphorophora gei	forb	N	M	NA	Y	O	Y		2.2	3.9
Amphorophora rubi	forb	N	M	NA	Y	M	Y		2.2	4.7
Aphis idaei	forb	Y	M	NA	Y	M	Y		1	2
Aphis pomi	shrub	N	M	NA	Y	O	Y		1.3	2.2
Aphis rumicis	forb	N	M	NA	Y	O	Y		1.4	2.8
Appendiseta robiniae	tree	N	M	NA	Y	M	Y		1.6	1.9
Aspidaphis adjuvans	forb	N	M	NA	Y	M	Y		1.3	2
Atheroides hirtellus	grass	N	M	NA	Y	O	Y		2	2.8
Atheroides serrulatus	grass	N	M	NA	Y	O	Y		1.7	2.4
Aulacorthum solani	forb	Y	M	NA	Y	P	Y		1.8	3
Aulacorthum speyeri	forb	N	M	NA	Y	O	Y		1.9	2.9
Betulaphis quadrituberculata	tree	N	M	NA	Y	M	Y		1.5	2
Brachycaudus klugkisti	forb	N	M	NA	Y	M	Y		1.5	2.5
Brachycaudus populi	forb	N	M	NA	Y	M	Y		1.6	2.9
